date,winner_td,loser_td,round_str,odds_winner,odds_loser,year,round_number
2024-05-26,Nakashima B.,Moreno De Alboran N.,1st Round,1.57,2.38,2024,1
2024-05-26,Rublev A.,Daniel T.,1st Round,1.04,13.0,2024,1
2024-05-26,Martinez P.,Tirante T.A.,1st Round,1.29,3.75,2024,1
2024-05-26,Sonego L.,Humbert U.,1st Round,2.5,1.53,2024,1
2024-05-26,Zhang Zh.,Vukic A.,1st Round,1.36,3.2,2024,1
2024-05-26,De Jong J.,Draper J.,1st Round,4.5,1.2,2024,1
2024-05-26,Hurkacz H.,Mochizuki S.,1st Round,1.03,15.0,2024,1
2024-05-26,Dimitrov G.,Kovacevic A.,1st Round,1.08,8.0,2024,1
2024-05-26,Marterer M.,Thompson J.,1st Round,2.3,1.62,2024,1
2024-05-26,Alcaraz C.,Wolf J.J.,1st Round,1.01,26.0,2024,1
2024-05-26,Gasquet R.,Coric B.,1st Round,3.2,1.36,2024,1
2024-05-26,Muller A.,Nardi L.,1st Round,1.53,2.5,2024,1
2024-05-26,Bergs Z.,Tabilo A.,1st Round,3.2,1.36,2024,1
2024-05-26,Nishikori K.,Diallo G.,1st Round,2.75,1.44,2024,1
2024-05-26,Marozsan F.,Kukushkin M.,1st Round,1.25,4.0,2024,1
2024-05-26,Korda S.,Mayot H.,1st Round,1.17,5.0,2024,1
2024-05-26,Altmaier D.,Djere L.,1st Round,1.53,2.5,2024,1
2024-05-26,Moutet C.,Jarry N.,1st Round,2.75,1.44,2024,1
2024-05-26,Ofner S.,Atmane T.,1st Round,1.57,2.38,2024,1
2024-05-26,Wawrinka S.,Murray A.,1st Round,1.53,2.5,2024,1
2024-05-27,Kwon S.W.,Ruusuvuori E.,1st Round,6.0,1.13,2024,1
2024-05-27,Shevchenko A.,Karatsev A.,1st Round,1.57,2.38,2024,1
2024-05-27,Sinner J.,Eubanks C.,1st Round,1.02,19.0,2024,1
2024-05-27,Squire H.,Purcell M.,1st Round,1.44,2.75,2024,1
2024-05-27,Shelton B.,Gaston H.,1st Round,1.4,3.0,2024,1
2024-05-27,Auger-Aliassime F.,Nishioka Y.,1st Round,1.2,4.5,2024,1
2024-05-27,Baez S.,Heide G.,1st Round,1.17,5.0,2024,1
2024-05-27,Arnaldi M.,Fils A.,1st Round,2.2,1.67,2024,1
2024-05-27,Tsitsipas S.,Fucsovics M.,1st Round,1.1,7.0,2024,1
2024-05-27,Kovalik J.,Giron M.,1st Round,2.0,1.8,2024,1
2024-05-27,Khachanov K.,Nagal S.,1st Round,1.11,6.5,2024,1
2024-05-27,Zverev A.,Nadal R.,1st Round,1.3,3.5,2024,1
2024-05-27,Kotov P.,Norrie C.,1st Round,2.75,1.44,2024,1
2024-05-27,Cerundolo F.,Hanfmann Y.,1st Round,1.3,3.5,2024,1
2024-05-27,Misolic F.,Virtanen O.,1st Round,1.5,2.63,2024,1
2024-05-27,Tiafoe F.,Bellucci M.,1st Round,1.29,3.75,2024,1
2024-05-27,Musetti L.,Galan D.E.,1st Round,1.13,6.0,2024,1
2024-05-27,Paul T.,Cachin P.,1st Round,1.1,7.0,2024,1
2024-05-27,Shapovalov D.,Van Assche L.,1st Round,1.67,2.2,2024,1
2024-05-27,Kecmanovic M.,Monteiro T.,1st Round,1.8,2.0,2024,1
2024-05-27,Lajovic D.,Safiullin R.,1st Round,1.62,2.3,2024,1
2024-05-27,Monfils G.,Seyboth Wild T.,1st Round,2.3,1.62,2024,1
2024-05-27,Fognini F.,Van De Zandschulp B.,1st Round,2.75,1.44,2024,1
2024-05-27,Medvedev D.,Koepfer D.,1st Round,1.2,4.5,2024,1
2024-05-28,Etcheverry T.,Cazaux A.,1st Round,1.2,4.5,2024,1
2024-05-28,Ruud C.,Meligeni Alves F.,1st Round,1.06,10.0,2024,1
2024-05-28,Machac T.,Borges N.,1st Round,1.62,2.3,2024,1
2024-05-28,Davidovich Fokina A.,Vacherot V.,1st Round,1.2,4.5,2024,1
2024-05-28,Munar J.,Bautista Agut R.,1st Round,1.67,2.2,2024,1
2024-05-28,De Minaur A.,Michelsen A.,1st Round,1.08,8.0,2024,1
2024-05-28,Navone M.,Carreno Busta P.,1st Round,1.13,6.0,2024,1
2024-05-28,Rinderknech A.,Walton A.,1st Round,1.14,5.5,2024,1
2024-05-28,Fritz T.,Coria F.,1st Round,1.14,5.5,2024,1
2024-05-28,Goffin D.,Mpetshi G.,1st Round,2.3,1.62,2024,1
2024-05-28,Cobolli F.,Medjedovic H.,1st Round,2.5,1.53,2024,1
2024-05-28,Struff J.L.,Burruchaga R.,1st Round,1.14,5.5,2024,1
2024-05-28,Rune H.,Evans D.,1st Round,1.08,8.0,2024,1
2024-05-28,Zeppieri G.,Mannarino A.,1st Round,1.22,4.33,2024,1
2024-05-28,Darderi L.,Hijikata R.,1st Round,1.06,10.0,2024,1
2024-05-28,Kokkinakis T.,Popyrin A.,1st Round,2.0,1.8,2024,1
2024-05-28,Carballes Baena R.,Lestienne C.,1st Round,1.14,5.5,2024,1
2024-05-28,Griekspoor T.,Mcdonald M.,1st Round,1.1,7.0,2024,1
2024-05-28,Djokovic N.,Herbert P.H.,1st Round,1.02,21.0,2024,1
2024-05-28,Bublik A.,Barrere G.,1st Round,1.91,1.91,2024,1
