date,winner_td,loser_td,round_str,odds_winner,odds_loser,year,round_number
2017-05-28,Zeballos H.,Mannarino A.,1st Round,2.0,1.8,2017,1
2017-05-28,Garcia-Lopez G.,Muller G.,1st Round,3.0,1.4,2017,1
2017-05-28,Ramos-Vinolas A.,Copil M.,1st Round,1.2,4.5,2017,1
2017-05-28,Bonzi B.,Medvedev D.,1st Round,2.75,1.44,2017,1
2017-05-28,Daniel T.,Janowicz J.,1st Round,1.72,2.1,2017,1
2017-05-28,Carreno Busta P.,Mayer F.,1st Round,1.08,8.0,2017,1
2017-05-28,Dimitrov G.,Robert S.,1st Round,1.01,17.0,2017,1
2017-05-28,Karlovic I.,Tsitsipas S.,1st Round,1.66,2.2,2017,1
2017-05-28,Kukushkin M.,Sandgren T.,1st Round,1.44,2.75,2017,1
2017-05-28,Trungelliti M.,Halys Q.,1st Round,2.0,1.8,2017,1
2017-05-28,Thiem D.,Tomic B.,1st Round,1.01,17.0,2017,1
2017-05-28,Robredo T.,Evans D.,1st Round,1.61,2.3,2017,1
2017-05-28,Pouille L.,Benneteau J.,1st Round,1.08,8.0,2017,1
2017-05-28,Bellucci T.,Lajovic D.,1st Round,1.53,2.5,2017,1
2017-05-28,Haase R.,De Minaur A.,1st Round,1.14,5.5,2017,1
2017-05-29,Bedene A.,Harrison R.,1st Round,1.25,4.0,2017,1
2017-05-29,Stakhovsky S.,Lu Y.H.,1st Round,1.5,2.62,2017,1
2017-05-29,Raonic M.,Darcis S.,1st Round,1.08,8.0,2017,1
2017-05-29,Schwartzman D.,Rublev A.,1st Round,1.12,6.0,2017,1
2017-05-29,Basilashvili N.,Simon G.,1st Round,2.75,1.44,2017,1
2017-05-29,Troicki V.,Donskoy E.,1st Round,1.16,5.0,2017,1
2017-05-29,Bautista Agut R.,Millman J.,1st Round,1.04,13.0,2017,1
2017-05-29,Vesely J.,Sock J.,1st Round,3.0,1.4,2017,1
2017-05-29,Johnson S.,Sugita Y.,1st Round,1.22,4.33,2017,1
2017-05-29,Sousa J.,Tipsarevic J.,1st Round,1.9,1.9,2017,1
2017-05-29,Djokovic N.,Granollers M.,1st Round,1.01,21.0,2017,1
2017-05-29,Napolitano S.,Zverev M.,1st Round,3.5,1.3,2017,1
2017-05-29,Dutra Silva R.,Youzhny M.,1st Round,1.66,2.2,2017,1
2017-05-29,Goffin D.,Mathieu P.H.,1st Round,1.07,9.0,2017,1
2017-05-29,Nadal R.,Paire B.,1st Round,1.01,21.0,2017,1
2017-05-29,Bolelli S.,Mahut N.,1st Round,1.8,2.0,2017,1
2017-05-29,Coric B.,Bourgue M.,1st Round,1.1,7.0,2017,1
2017-05-29,Seppi A.,Giraldo S.,1st Round,1.66,2.2,2017,1
2017-05-29,Kravchuk K.,Delbonis F.,1st Round,6.5,1.11,2017,1
2017-05-29,Cilic M.,Gulbis E.,1st Round,1.06,10.0,2017,1
