date,winner_td,loser_td,round_str,odds_winner,odds_loser,year,round_number
2020-09-27,Bonzi B.,Ruusuvuori E.,1st Round,3.0,1.4,2020,1
2020-09-27,Korda S.,Seppi A.,1st Round,1.44,2.75,2020,1
2020-09-27,Sinner J.,Goffin D.,1st Round,1.9,1.9,2020,1
2020-09-27,Fritz T.,Machac T.,1st Round,1.4,3.0,2020,1
2020-09-27,Nishikori K.,Evans D.,1st Round,1.57,2.37,2020,1
2020-09-27,Coria F.,Jung J.,1st Round,1.28,3.75,2020,1
2020-09-27,Rodionov J.,Chardy J.,1st Round,2.0,1.8,2020,1
2020-09-27,Travaglia S.,Andujar P.,1st Round,2.2,1.66,2020,1
2020-09-27,Isner J.,Benchetrit E.,1st Round,1.25,4.0,2020,1
2020-09-27,Cecchinato M.,De Minaur A.,1st Round,1.72,2.1,2020,1
2020-09-27,Gombos N.,Coric B.,1st Round,6.0,1.12,2020,1
2020-09-27,Koepfer D.,Hoang A.,1st Round,1.28,3.75,2020,1
2020-09-27,Albot R.,Thompson J.,1st Round,2.5,1.53,2020,1
2020-09-27,Paire B.,Kwon S.W.,1st Round,2.1,1.72,2020,1
2020-09-27,Londero J.I.,Delbonis F.,1st Round,2.2,1.66,2020,1
2020-09-27,Wawrinka S.,Murray A.,1st Round,1.33,3.4,2020,1
2020-09-27,Schwartzman D.,Kecmanovic M.,1st Round,1.2,4.5,2020,1
2020-09-27,Zverev A.,Novak D.,1st Round,1.08,8.0,2020,1
2020-09-28,Thiem D.,Cilic M.,1st Round,1.1,7.0,2020,1
2020-09-28,Nishioka Y.,Auger-Aliassime F.,1st Round,4.5,1.2,2020,1
2020-09-28,Sock J.,Opelka R.,1st Round,1.53,2.5,2020,1
2020-09-28,Gaston H.,Janvier M.,1st Round,1.33,3.4,2020,1
2020-09-28,Martinez P.,Vukic A.,1st Round,1.25,4.0,2020,1
2020-09-28,Herbert P.H.,Mmoh M.,1st Round,1.57,2.37,2020,1
2020-09-28,Kukushkin M.,Fognini F.,1st Round,3.2,1.36,2020,1
2020-09-28,Sonego L.,Gomez E.,1st Round,1.28,3.75,2020,1
2020-09-28,Paul T.,Duckworth J.,1st Round,1.22,4.33,2020,1
2020-09-28,Mcdonald M.,Diez S.,1st Round,2.75,1.44,2020,1
2020-09-28,Giustino L.,Moutet C.,1st Round,2.2,1.66,2020,1
2020-09-28,Vesely J.,Broady L.,1st Round,1.3,3.5,2020,1
2020-09-28,Struff J.L.,Tiafoe F.,1st Round,1.5,2.62,2020,1
2020-09-28,Pella G.,Caruso S.,1st Round,1.72,2.1,2020,1
2020-09-28,Ruud C.,Sugita Y.,1st Round,1.03,15.0,2020,1
2020-09-28,Milojevic N.,Krajinovic F.,1st Round,8.0,1.08,2020,1
2020-09-28,Bublik A.,Monfils G.,1st Round,2.1,1.72,2020,1
2020-09-28,Nadal R.,Gerasimov E.,1st Round,0.971,34.0,2020,1
2020-09-28,Bedene A.,Rinderknech A.,1st Round,1.33,3.4,2020,1
2020-09-28,Sandgren T.,Hurkacz H.,1st Round,3.0,1.4,2020,1
2020-09-28,Galan D.,Norrie C.,1st Round,1.72,2.1,2020,1
2020-09-28,Ramos-Vinolas A.,Mannarino A.,1st Round,1.44,2.75,2020,1
2020-09-28,Khachanov K.,Majchrzak K.,1st Round,1.3,3.5,2020,1
2020-09-28,Altmaier D.,Lopez F.,1st Round,1.44,2.75,2020,1
2020-09-28,Fucsovics M.,Medvedev D.,1st Round,4.33,1.22,2020,1
