date,winner_td,loser_td,round_str,odds_winner,odds_loser,year,round_number
2025-05-25,Fucsovics M.,Schoolkate T.,1st Round,1.08,8.0,2025,1
2025-05-25,Medjedovic H.,Majchrzak K.,1st Round,1.57,2.38,2025,1
2025-05-25,Paul T.,Moller E.,1st Round,1.1,7.0,2025,1
2025-05-25,Navone M.,Nakashima B.,1st Round,1.5,2.63,2025,1
2025-05-25,Mpetshi G.,Bergs Z.,1st Round,1.73,2.1,2025,1
2025-05-25,Opelka R.,Hijikata R.,1st Round,1.44,2.75,2025,1
2025-05-25,Carreno Busta P.,Comesana F.,1st Round,2.63,1.5,2025,1
2025-05-25,Dzumhur D.,Tirante T.A.,1st Round,1.73,2.1,2025,1
2025-05-25,Kopriva V.,Monteiro T.,1st Round,1.4,3.0,2025,1
2025-05-25,Musetti L.,Hanfmann Y.,1st Round,1.05,11.0,2025,1
2025-05-25,Cerundolo J.M.,Michelsen A.,1st Round,1.8,2.0,2025,1
2025-05-25,Galan D.E.,Royer V.,1st Round,2.2,1.67,2025,1
2025-05-25,Tiafoe F.,Safiullin R.,1st Round,1.4,3.0,2025,1
2025-05-25,Marozsan F.,Nardi L.,1st Round,1.22,4.33,2025,1
2025-05-25,Gigante M.,Hassan B.,1st Round,1.5,2.63,2025,1
2025-05-25,Nava E.,Van De Zandschulp B.,1st Round,2.1,1.73,2025,1
2025-05-25,Brooksby J.,Faria J.,1st Round,1.57,2.38,2025,1
2025-05-25,Shelton B.,Sonego L.,1st Round,1.62,2.3,2025,1
2025-05-25,Halys Q.,Machac T.,1st Round,3.0,1.4,2025,1
2025-05-25,Borges N.,Jacquet K.,1st Round,1.57,2.38,2025,1
2025-05-26,Korda S.,Darderi L.,1st Round,1.91,1.91,2025,1
2025-05-26,Gaston H.,Blanchet U.,1st Round,1.44,2.75,2025,1
2025-05-26,Kecmanovic M.,Baez S.,1st Round,2.2,1.67,2025,1
2025-05-26,Popyrin A.,Nishioka Y.,1st Round,1.14,5.5,2025,1
2025-05-26,Ruud C.,Ramos A.,1st Round,1.04,13.0,2025,1
2025-05-26,Tabilo A.,Cazaux A.,1st Round,1.57,2.38,2025,1
2025-05-26,Alcaraz C.,Zeppieri G.,1st Round,1.01,26.0,2025,1
2025-05-26,Tsitsipas S.,Etcheverry T.,1st Round,1.2,4.5,2025,1
2025-05-26,Davidovich Fokina A.,Llamas Ruiz P.,1st Round,1.1,7.0,2025,1
2025-05-26,Altmaier D.,Fritz T.,1st Round,3.75,1.29,2025,1
2025-05-26,Rune H.,Bautista Agut R.,1st Round,1.14,5.5,2025,1
2025-05-26,Fearnley J.,Wawrinka S.,1st Round,1.5,2.63,2025,1
2025-05-26,Khachanov K.,Vukic A.,1st Round,1.1,7.0,2025,1
2025-05-26,Diallo G.,Cerundolo F.,1st Round,6.5,1.11,2025,1
2025-05-26,Lehecka J.,Thompson J.,1st Round,1.14,5.5,2025,1
2025-05-26,Ofner S.,Struff J.L.,1st Round,1.36,3.2,2025,1
2025-05-26,Gasquet R.,Atmane T.,1st Round,2.38,1.57,2025,1
2025-05-26,Shapovalov D.,Martinez P.,1st Round,1.5,2.63,2025,1
2025-05-26,Misolic F.,Bu Y.,1st Round,1.57,2.38,2025,1
2025-05-26,Fils A.,Jarry N.,1st Round,1.14,5.5,2025,1
2025-05-26,Humbert U.,O Connell C.,1st Round,1.44,2.75,2025,1
2025-05-26,Munar J.,Ugo Carabelli C.,1st Round,1.57,2.38,2025,1
2025-05-26,Griekspoor T.,Giron M.,1st Round,1.3,3.5,2025,1
2025-05-26,Sinner J.,Rinderknech A.,1st Round,1.01,29.0,2025,1
2025-05-27,De Minaur A.,Djere L.,1st Round,1.2,4.5,2025,1
2025-05-27,Gomez F.A.,Kovacevic A.,1st Round,2.3,1.62,2025,1
2025-05-27,Norrie C.,Medvedev D.,1st Round,4.5,1.2,2025,1
2025-05-27,Shevchenko A.,Lajovic D.,1st Round,2.75,1.44,2025,1
2025-05-27,Quinn E.,Dimitrov G.,1st Round,3.4,1.33,2025,1
2025-05-27,Bublik A.,Duckworth J.,1st Round,1.14,5.5,2025,1
2025-05-27,Zverev A.,Tien L.,1st Round,1.03,15.0,2025,1
2025-05-27,De Jong J.,Passaro F.,1st Round,1.53,2.5,2025,1
2025-05-27,Mensik J.,Muller A.,1st Round,1.4,3.0,2025,1
2025-05-27,Walton A.,Marterer M.,1st Round,4.0,1.25,2025,1
2025-05-27,Herbert P.,Bonzi B.,1st Round,2.38,1.57,2025,1
2025-05-27,Djokovic N.,McDonald M.,1st Round,1.02,21.0,2025,1
2025-05-27,Rocha H.,Basilashvili N.,1st Round,2.75,1.44,2025,1
2025-05-27,Rublev A.,Harris L.,1st Round,1.07,9.0,2025,1
2025-05-27,Draper J.,Bellucci M.,1st Round,1.02,19.0,2025,1
2025-05-27,Arnaldi M.,Auger-Aliassime F.,1st Round,2.0,1.8,2025,1
2025-05-27,Cobolli F.,Cilic M.,1st Round,1.4,3.0,2025,1
2025-05-27,Moutet C.,Tabur C.,1st Round,1.22,4.33,2025,1
2025-05-27,Fonseca J.,Hurkacz H.,1st Round,1.8,2.0,2025,1
2025-05-27,Monfils G.,Dellien H.,1st Round,1.33,3.4,2025,1
2025-05-28,Musetti L.,Galan D.E.,2nd Round,1.03,17.0,2025,2
2025-05-28,Medjedovic H.,Cerundolo J.M.,2nd Round,1.44,2.75,2025,2
2025-05-28,Altmaier D.,Kopriva V.,2nd Round,1.5,2.63,2025,2
2025-05-28,Popyrin A.,Tabilo A.,2nd Round,1.5,2.63,2025,2
2025-05-28,Halys Q.,Kecmanovic M.,2nd Round,2.38,1.57,2025,2
2025-05-28,Navone M.,Opelka R.,2nd Round,1.25,4.0,2025,2
2025-05-28,Borges N.,Ruud C.,2nd Round,8.0,1.08,2025,2
2025-05-28,Khachanov K.,Ofner S.,2nd Round,1.44,2.75,2025,2
2025-05-28,Alcaraz C.,Marozsan F.,2nd Round,1.03,15.0,2025,2
2025-05-28,Dzumhur D.,Mpetshi G.,2nd Round,2.63,1.5,2025,2
2025-05-28,Paul T.,Fucsovics M.,2nd Round,1.17,5.0,2025,2
2025-05-28,Gigante M.,Tsitsipas S.,2nd Round,8.0,1.08,2025,2
2025-05-28,Korda S.,Brooksby J.,2nd Round,1.33,3.4,2025,2
2025-05-28,Shelton B.,Gaston H.,2nd Round,1.36,3.2,2025,2
2025-05-28,Tiafoe F.,Carreno Busta P.,2nd Round,1.53,2.5,2025,2
2025-05-28,Rune H.,Nava E.,2nd Round,1.13,6.0,2025,2
2025-05-29,Bublik A.,De Minaur A.,2nd Round,8.0,1.08,2025,2
2025-05-29,Lehecka J.,Davidovich Fokina A.,2nd Round,2.1,1.73,2025,2
2025-05-29,Fils A.,Munar J.,2nd Round,1.17,5.0,2025,2
2025-05-29,Rocha H.,Mensik J.,2nd Round,11.0,1.05,2025,2
2025-05-29,Zverev A.,De Jong J.,2nd Round,1.04,13.0,2025,2
2025-05-29,Griekspoor T.,Diallo G.,2nd Round,1.53,2.5,2025,2
2025-05-29,Sinner J.,Gasquet R.,2nd Round,1.01,34.0,2025,2
2025-05-29,Rublev A.,Walton A.,2nd Round,1.03,15.0,2025,2
2025-05-29,Cobolli F.,Arnaldi M.,2nd Round,1.73,2.1,2025,2
2025-05-29,Fonseca J.,Herbert P.,2nd Round,1.03,15.0,2025,2
2025-05-29,Norrie C.,Gomez F.A.,2nd Round,1.13,6.0,2025,2
