date,winner_td,loser_td,round_str,odds_winner,odds_loser,year,round_number
2018-05-27,Albot R.,Barrere G.,1st Round,2.0,1.8,2018,1
2018-05-27,Dzumhur D.,Kudla D.,1st Round,1.44,2.75,2018,1
2018-05-27,Dimitrov G.,Safwat M.,1st Round,,,2018,1
2018-05-27,Donaldson J.,Jarry N.,1st Round,2.75,1.44,2018,1
2018-05-27,Monfils G.,Benchetrit E.,1st Round,1.16,5.0,2018,1
2018-05-27,Klizan M.,Djere L.,1st Round,1.5,2.62,2018,1
2018-05-27,Carreno Busta P.,Kovalik J.,1st Round,1.16,5.0,2018,1
2018-05-27,Nishikori K.,Janvier M.,1st Round,1.04,13.0,2018,1
2018-05-27,Moutet C.,Karlovic I.,1st Round,2.1,1.72,2018,1
2018-05-27,Verdasco F.,Nishioka Y.,1st Round,1.25,4.0,2018,1
2018-05-27,Berrettini M.,Otte O.,1st Round,1.61,2.3,2018,1
2018-05-27,Pouille L.,Medvedev D.,1st Round,1.2,4.5,2018,1
2018-05-27,Andreozzi G.,Fritz T.,1st Round,1.5,2.62,2018,1
2018-05-27,Zverev A.,Berankis R.,1st Round,1.01,21.0,2018,1
2018-05-27,Goffin D.,Haase R.,1st Round,1.14,5.5,2018,1
2018-05-27,Delbonis F.,Bellucci T.,1st Round,1.53,2.5,2018,1
2018-05-28,Cecchinato M.,Copil M.,1st Round,1.4,2.75,2018,1
2018-05-28,Garcia-Lopez G.,Wawrinka S.,1st Round,2.2,1.66,2018,1
2018-05-28,Paire B.,Carballes Baena R.,1st Round,1.4,3.0,2018,1
2018-05-28,Tsitsipas S.,Taberner C.,1st Round,1.14,5.5,2018,1
2018-05-28,Gulbis E.,Muller G.,1st Round,1.4,3.0,2018,1
2018-05-28,Khachanov K.,Haider-Maurer A.,1st Round,1.06,11.0,2018,1
2018-05-28,Trungelliti M.,Tomic B.,1st Round,2.1,1.72,2018,1
2018-05-28,Norrie C.,Gojowczyk P.,1st Round,2.5,1.53,2018,1
2018-05-28,Lajovic D.,Vesely J.,1st Round,1.44,2.75,2018,1
2018-05-28,Bautista Agut R.,Istomin D.,1st Round,1.08,9.0,2018,1
2018-05-28,Munar J.,Ferrer D.,1st Round,2.75,1.44,2018,1
2018-05-28,Djokovic N.,Dutra Silva R.,1st Round,1.06,11.0,2018,1
2018-05-28,Coric B.,Kohlschreiber P.,1st Round,1.72,2.1,2018,1
2018-05-28,Thiem D.,Ivashka I.,1st Round,1.07,10.0,2018,1
2018-05-28,Giraldo S.,Baghdatis M.,1st Round,1.44,2.75,2018,1
2018-05-28,Pavlasek A.,Basic M.,1st Round,1.5,2.62,2018,1
2018-05-28,Ruud C.,Thompson J.,1st Round,1.33,3.4,2018,1
2018-05-28,Simon G.,Basilashvili N.,1st Round,1.57,2.37,2018,1
2018-05-28,Ramos-Vinolas A.,Kukushkin M.,1st Round,1.61,2.3,2018,1
2018-05-28,Jaziri M.,Youzhny M.,1st Round,1.3,3.5,2018,1
2018-05-28,Querrey S.,Tiafoe F.,1st Round,2.1,1.72,2018,1
2018-05-28,Schwartzman D.,Hemery C.,1st Round,1.11,7.0,2018,1
2018-05-28,Gasquet R.,Seppi A.,1st Round,1.36,3.2,2018,1
2018-05-29,Cuevas P.,Bedene A.,1st Round,1.66,2.2,2018,1
2018-05-29,Cilic M.,Duckworth J.,1st Round,1.01,21.0,2018,1
2018-05-29,Struff J.L.,Donskoy E.,1st Round,1.4,3.0,2018,1
2018-05-29,Marterer M.,Harrison R.,1st Round,1.66,2.2,2018,1
2018-05-29,Hurkacz H.,Sandgren T.,1st Round,2.37,1.57,2018,1
2018-05-29,Shapovalov D.,Millman J.,1st Round,1.4,3.0,2018,1
