date,winner_td,loser_td,round_str,odds_winner,odds_loser,year,round_number
2021-05-30,Fognini F.,Barrere G.,1st Round,1.25,4.0,2021,1
2021-05-30,Carreno Busta P.,Gombos N.,1st Round,1.12,6.0,2021,1
2021-05-30,Couacaud E.,Gerasimov E.,1st Round,1.66,2.2,2021,1
2021-05-30,Laaksonen H.,Hanfmann Y.,1st Round,2.1,1.72,2021,1
2021-05-30,Bautista Agut R.,Vilella Martinez M.,1st Round,1.12,6.0,2021,1
2021-05-30,Pella G.,Galan D.E.,1st Round,3.2,1.36,2021,1
2021-05-30,Kecmanovic M.,Evans D.,1st Round,2.5,1.53,2021,1
2021-05-30,Andujar P.,Thiem D.,1st Round,7.0,1.1,2021,1
2021-05-30,Khachanov K.,Vesely J.,1st Round,1.3,3.5,2021,1
2021-05-30,Fucsovics M.,Simon G.,1st Round,1.1,7.0,2021,1
2021-05-30,Nishikori K.,Giannessi A.,1st Round,1.12,6.0,2021,1
2021-05-30,Garin C.,Londero J.I.,1st Round,1.06,10.0,2021,1
2021-05-30,Mcdonald M.,Ruusuvuori E.,1st Round,1.3,3.5,2021,1
2021-05-30,Giron M.,Dimitrov G.,1st Round,4.0,1.25,2021,1
2021-05-30,Djere L.,Moutet C.,1st Round,1.8,2.0,2021,1
2021-05-30,Zverev A.,Otte O.,1st Round,1.04,13.0,2021,1
2021-05-30,Davidovich Fokina A.,Kukushkin M.,1st Round,1.03,15.0,2021,1
2021-05-30,Safiullin R.,Taberner C.,1st Round,3.75,1.28,2021,1
2021-05-30,Van De Zandschulp B.,Hurkacz H.,1st Round,2.37,1.57,2021,1
2021-05-30,Tsitsipas S.,Chardy J.,1st Round,1.02,17.0,2021,1
2021-05-31,Sinner J.,Herbert P.H.,1st Round,1.11,6.5,2021,1
2021-05-31,Johnson S.,Tiafoe F.,1st Round,5.0,1.16,2021,1
2021-05-31,Krajinovic F.,Marterer M.,1st Round,1.5,2.62,2021,1
2021-05-31,Monteiro T.,Cerundolo F.,1st Round,1.66,2.2,2021,1
2021-05-31,Mager G.,Gojowczyk P.,1st Round,2.62,1.5,2021,1
2021-05-31,Isner J.,Querrey S.,1st Round,1.28,3.75,2021,1
2021-05-31,Delbonis F.,Albot R.,1st Round,1.14,5.5,2021,1
2021-05-31,Ruud C.,Paire B.,1st Round,1.05,11.0,2021,1
