date,winner_td,loser_td,round_str,odds_winner,odds_loser,year,round_number
2019-05-26,Cilic M.,Fabbiano T.,1st Round,1.08,8.0,2019,1
2019-05-26,Popyrin A.,Humbert U.,1st Round,2.0,1.8,2019,1
2019-05-26,Ruud C.,Gulbis E.,1st Round,1.28,3.75,2019,1
2019-05-26,Berrettini M.,Andujar P.,1st Round,1.2,4.5,2019,1
2019-05-26,Dimitrov G.,Tipsarevic J.,1st Round,1.16,5.0,2019,1
2019-05-26,Tsitsipas S.,Marterer M.,1st Round,1.03,15.0,2019,1
2019-05-26,Otte O.,Jaziri M.,1st Round,1.8,2.0,2019,1
2019-05-26,Nishikori K.,Halys Q.,1st Round,1.14,5.5,2019,1
2019-05-26,Mahut N.,Cecchinato M.,1st Round,8.0,1.08,2019,1
2019-05-26,Federer R.,Sonego L.,1st Round,1.11,6.5,2019,1
2019-05-26,Dellien H.,Gunneswaran P.,1st Round,1.2,4.5,2019,1
2019-05-26,Schwartzman D.,Fucsovics M.,1st Round,1.28,3.75,2019,1
2019-05-26,Djere L.,Ramos-Vinolas A.,1st Round,1.72,2.1,2019,1
2019-05-26,Kohlschreiber P.,Haase R.,1st Round,1.22,4.33,2019,1
2019-05-26,Mayer L.,Vesely J.,1st Round,1.66,2.2,2019,1
2019-05-26,Goffin D.,Berankis R.,1st Round,1.08,8.0,2019,1
2019-05-27,Londero J.I.,Basilashvili N.,1st Round,2.5,1.53,2019,1
2019-05-27,Kecmanovic M.,Kudla D.,1st Round,1.5,2.62,2019,1
2019-05-27,Carreno Busta P.,Sousa J.,1st Round,1.8,2.0,2019,1
2019-05-27,De Minaur A.,Klahn B.,1st Round,1.2,4.5,2019,1
2019-05-27,Herbert P.H.,Medvedev D.,1st Round,3.4,1.33,2019,1
2019-05-27,Krajinovic F.,Tiafoe F.,1st Round,1.44,2.75,2019,1
2019-05-27,Moutet C.,Vatutin A.,1st Round,1.44,2.75,2019,1
2019-05-27,Maden Y.,Coppejans K.,1st Round,1.44,2.75,2019,1
2019-05-27,Garin C.,Opelka R.,1st Round,1.4,3.0,2019,1
2019-05-27,Gasquet R.,Zverev M.,1st Round,1.11,6.5,2019,1
2019-05-27,Carballes Baena R.,Muller A.,1st Round,1.2,4.5,2019,1
2019-05-27,Nadal R.,Hanfmann Y.,1st Round,1.005,29.0,2019,1
2019-05-27,Coric B.,Bedene A.,1st Round,1.2,4.5,2019,1
2019-05-27,Pella G.,Andreozzi G.,1st Round,1.2,4.5,2019,1
2019-05-27,Laaksonen H.,Martinez P.,1st Round,1.9,1.9,2019,1
2019-05-27,Wawrinka S.,Kovalik J.,1st Round,1.11,6.5,2019,1
2019-05-27,Simon G.,Stakhovsky S.,1st Round,1.12,6.0,2019,1
2019-05-27,Tsonga J.W.,Gojowczyk P.,1st Round,1.22,4.33,2019,1
2019-05-27,Caruso S.,Munar J.,1st Round,3.75,1.28,2019,1
2019-05-27,Djokovic N.,Hurkacz H.,1st Round,1.03,15.0,2019,1
2019-05-27,Harris L.,Rosol L.,1st Round,1.57,2.37,2019,1
2019-05-27,Paire B.,Copil M.,1st Round,1.14,5.5,2019,1
2019-05-27,Albot R.,Sandgren T.,1st Round,1.33,3.4,2019,1
2019-05-27,Bublik A.,Molleker R.,1st Round,3.2,1.36,2019,1
2019-05-27,Cuevas P.,Janvier M.,1st Round,1.16,5.0,2019,1
2019-05-27,Struff J.L.,Shapovalov D.,1st Round,1.57,2.37,2019,1
2019-05-27,Thiem D.,Paul T.,1st Round,1.02,19.0,2019,1
2019-05-28,Fognini F.,Seppi A.,1st Round,1.16,5.0,2019,1
2019-05-28,Fritz T.,Tomic B.,1st Round,1.14,5.5,2019,1
2019-05-28,Delbonis F.,Garcia-Lopez G.,1st Round,1.3,3.5,2019,1
2019-05-28,Del Potro J.M.,Jarry N.,1st Round,1.3,3.5,2019,1
2019-05-28,Zverev A.,Millman J.,1st Round,1.11,6.5,2019,1
