date,winner_td,loser_td,round_str,odds_winner,odds_loser,year,round_number
2022-05-22,Dellien H.,Thiem D.,1st Round,1.8,2.0,2022,1
2022-05-22,Munar J.,Altmaier D.,1st Round,1.4,3.0,2022,1
2022-05-22,Coric B.,Taberner C.,1st Round,1.9,1.9,2022,1
2022-05-22,Dimitrov G.,Giron M.,1st Round,1.14,5.5,2022,1
2022-05-22,Bedene A.,O Connell C.,1st Round,3.75,1.28,2022,1
2022-05-22,Schwartzman D.,Kuznetsov An.,1st Round,1.07,9.0,2022,1
2022-05-22,Barrere G.,Daniel T.,1st Round,3.5,1.3,2022,1
2022-05-22,Van De Zandschulp B.,Kotov P.,1st Round,1.28,3.75,2022,1
2022-05-22,Isner J.,Halys Q.,1st Round,1.5,2.62,2022,1
2022-05-22,Auger-Aliassime F.,Varillas J. P.,1st Round,1.16,5.0,2022,1
2022-05-22,Cuevas P.,Brooksby J.,1st Round,3.0,1.4,2022,1
2022-05-22,Griekspoor T.,Davidovich Fokina A.,1st Round,4.0,1.25,2022,1
2022-05-22,Fognini F.,Popyrin A.,1st Round,1.5,2.62,2022,1
2022-05-22,Khachanov K.,Borges N.,1st Round,1.28,3.75,2022,1
2022-05-22,Ramos-Vinolas A.,Kokkinakis T.,1st Round,2.0,1.8,2022,1
2022-05-22,Ugo Carabelli C.,Karatsev A.,1st Round,2.2,1.66,2022,1
2022-05-22,Zverev A.,Ofner S.,1st Round,1.05,11.0,2022,1
2022-05-22,Kubler J.,Kudla D.,1st Round,1.5,2.62,2022,1
2022-05-22,Zapata Miralles B.,Mmoh M.,1st Round,1.25,4.0,2022,1
2022-05-22,Alcaraz C.,Londero J.I.,1st Round,1.02,19.0,2022,1
2022-05-23,Gojo B.,Giannessi A.,1st Round,1.72,2.1,2022,1
2022-05-23,Krajinovic F.,Opelka R.,1st Round,2.2,1.66,2022,1
2022-05-23,Fritz T.,Rodriguez Taverna S.,1st Round,1.12,6.0,2022,1
2022-05-23,Baez S.,Lajovic D.,1st Round,1.33,3.4,2022,1
2022-05-23,Nakashima B.,Majchrzak K.,1st Round,2.0,1.8,2022,1
2022-05-23,Basilashvili N.,Cressy M.,1st Round,1.3,3.5,2022,1
2022-05-23,Norrie C.,Guinard M.,1st Round,1.08,8.0,2022,1
2022-05-23,Moutet C.,Wawrinka S.,1st Round,2.3,1.61,2022,1
2022-05-23,Evans D.,Cerundolo F.,1st Round,2.0,1.8,2022,1
2022-05-23,Nadal R.,Thompson J.,1st Round,1.01,23.0,2022,1
2022-05-23,Mcdonald M.,Agamenone F.,1st Round,1.61,2.3,2022,1
2022-05-23,Kecmanovic M.,Etcheverry T.,1st Round,1.11,6.5,2022,1
2022-05-23,Cachin P.,Gombos N.,1st Round,1.44,2.75,2022,1
2022-05-23,Fucsovics M.,Blancaneaux G.,1st Round,1.33,3.4,2022,1
2022-05-23,Ymer M.,Duckworth J.,1st Round,1.33,3.4,2022,1
2022-05-23,Cilic M.,Balazs A.,1st Round,1.06,10.0,2022,1
2022-05-23,Djokovic N.,Nishioka Y.,1st Round,1.01,26.0,2022,1
2022-05-24,Sousa J.,Tseng C. H.,1st Round,1.8,2.0,2022,1
2022-05-24,Rune H.,Shapovalov D.,1st Round,2.0,1.8,2022,1
2022-05-24,Ruusuvuori E.,Humbert U.,1st Round,1.66,2.2,2022,1
2022-05-24,Medvedev D.,Bagnis F.,1st Round,1.1,7.0,2022,1
2022-05-24,Djere L.,Berankis R.,1st Round,1.12,6.0,2022,1
2022-05-24,Korda S.,Millman J.,1st Round,1.14,5.5,2022,1
2022-05-24,Bublik A.,Rinderknech A.,1st Round,2.5,1.53,2022,1
2022-05-24,Molcan A.,Coria F.,1st Round,1.44,2.75,2022,1
2022-05-24,Gasquet R.,Harris L.,1st Round,1.5,2.62,2022,1
2022-05-24,Garin C.,Paul T.,1st Round,1.61,2.3,2022,1
2022-05-24,Goffin D.,Lehecka J.,1st Round,1.36,3.2,2022,1
2022-05-24,Ruud C.,Tsonga J.W.,1st Round,1.03,15.0,2022,1
2022-05-24,Ivashka I.,Paire B.,1st Round,1.5,2.62,2022,1
2022-05-24,Laaksonen H.,Martinez P.,1st Round,4.0,1.25,2022,1
2022-05-24,Rublev A.,Kwon S.W.,1st Round,1.08,8.0,2022,1
2022-05-24,Sonego L.,Gojowczyk P.,1st Round,1.08,8.0,2022,1
2022-05-24,Delbonis F.,Mannarino A.,1st Round,1.36,3.2,2022,1
2022-05-24,Tiafoe F.,Bonzi B.,1st Round,1.53,2.5,2022,1
2022-05-24,Gaston H.,De Minaur A.,1st Round,4.5,1.2,2022,1
2022-05-24,Carballes Baena R.,Otte O.,1st Round,2.2,1.66,2022,1
2022-05-24,Cecchinato M.,Andujar P.,1st Round,1.9,1.9,2022,1
2022-05-24,Hurkacz H.,Zeppieri G.,1st Round,1.12,6.0,2022,1
2022-05-24,Sinner J.,Fratangelo B.,1st Round,1.06,10.0,2022,1
